main_id,year,date,country,route,location,orig_lat,orig_lon,map_lat,map_lon,n_dead_missing,fix_type,coord_status
2022.MMP2229,2022,2022-04-05,Niger,Sahara Desert crossing,"On the route from Algeria to Assamaka, Niger",19.336292,19.336292,NA,NA,1,drop-lateqlon,"excluded (lat == lon, garbage)"
2022.MMP2234,2022,2022-05-05,Niger,Sahara Desert crossing,"On the route from Algeria to Assamaka, Niger",19.336292,19.336292,NA,NA,2,drop-lateqlon,"excluded (lat == lon, garbage)"
2015.MMP00019,2015,2015-01-16,Libya,Central Mediterranean,"Off the coast of Zliten, Libya",36.8103313,27.271264,36.8103313,27.271264,45,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00025,2015,2015-01-22,Malta,Central Mediterranean,"Off the coast of Mellieha, Malta",35.272947,-2.924594,35.272947,-2.924594,21,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00041,2015,2015-02-07,Türkiye,Eastern Mediterranean,"Marmaris, en route to Rhodes",34.579,12.4365,34.579,12.4365,9,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00110,2015,2015-04-20,Greece,Eastern Mediterranean,"Zephyros beach, Rhodes, Greece (right on coast)",33.7123,11.4474,33.7123,11.4474,3,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00149,2015,2015-05-25,Egypt,Central Mediterranean,"off coast of Kafr el-Sheikh, Egypt",38.3243,26.28878,38.3243,26.28878,5,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00228,2015,2015-07-09,Libya,Central Mediterranean,About 40 miles north of Libya,37.779414,26.35341,37.779414,26.35341,12,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00298,2015,2015-08-15,Libya,Central Mediterranean,About 34 kilometers off the Libyan coast,36.941323,27.343616,36.941323,27.343616,49,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00327,2015,2015-08-23,Tunisia,Central Mediterranean,Off the Coast of Tunisia,37.5005,27.0791,37.5005,27.0791,1,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00336,2015,2015-08-25,Italy,Central Mediterranean,Unspecified location in the Central Mediterranean,36.632829,-3.532317,36.632829,-3.532317,1,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00394,2015,2015-09-15,Türkiye,Eastern Mediterranean,Off the coast of Türkiye’s southwestern Datça district. En route to Kos,34.8657,12.6049,34.8657,12.6049,22,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00399,2015,2015-09-18,Libya,Central Mediterranean,"Off the coast of Tripoli, Libya",36.50439,27.363253,36.50439,27.363253,7,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00519,2015,2015-10-19,Greece,Eastern Mediterranean,Off the coast of Megisti/Kastellorizo,34.2345,14.7437,34.2345,14.7437,5,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00549,2015,2015-10-22,Libya,Central Mediterranean,"off the shore of Gasr Garabulli, Libya",31.5548,31.0911,31.5548,31.0911,6,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00563,2015,2015-10-28,Greece,Eastern Mediterranean,"off of Lesvos, Greece",34.2708,15.0073,34.2708,15.0073,3,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00635,2015,2015-11-17,Egypt,Central Mediterranean,"Off the coast of Alexandria, Egypt",39.274069,26.38825,39.274069,26.38825,8,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00697,2015,2015-12-09,Sudan,Sahara Desert crossing,"Ash Shamaliyah, Sudan",29.52327,33.80567,29.52327,33.80567,3,drop-noFix,flagged (shown at IOM's coordinates)
2025.MMP2404,2025,2025-07-31,Libya,Central Mediterranean,"Remains washed ashore in Abu Nawas beach, Tripoli, Libya",34.46108153,35.82948813,34.46108153,35.82948813,1,drop-noFix,flagged (shown at IOM's coordinates)
2026.MMP0126,2026,2026-03-15,Libya,Central Mediterranean,"Remains washed ashore at Ain Zara, Tripoli, Libya",32.82010716,1.326665995,32.82010716,1.326665995,1,drop-noFix,flagged (shown at IOM's coordinates)
2021.MMP0307,2021,2021-12-23,Algeria,Western Mediterranean,"3 KM off plage du Chlef, Mostaganem, Algeria - embarkation from plage du Chlef on 22 or 23 Dec",33.01479981,12.54897854,NA,NA,5,drop-placeholder,excluded (placeholder coordinates)
2021.MMP0308,2021,2021-12-25,Morocco,Western Africa / Atlantic route to the Canary Islands,"Found floating in an unspecified location in the Atlantic ocean close to the port of Terfaya, Morocco",33.01479981,12.54897854,NA,NA,1,drop-placeholder,excluded (placeholder coordinates)
2021.MMP0309,2021,2021-05-20,Morocco,Western Mediterranean,"Unspecified location off the coast of Tangier, Morocco",33.01479981,12.54897854,NA,NA,6,drop-placeholder,excluded (placeholder coordinates)
