Main ID,Incident ID,Incident Type,Region of Incident,Incident date,Incident year,Incident month,No. dead,No. missing,No. dead/missing,No. survivors,No. Female,No. Male,No. minors,Country of Origin,Region of Origin,Cause of death (category),Cause of death (reported),Route,Country of Incident,Location of death,UNSD region,Source,Link,Source Quality,Latitude,Longitude,incident_date_clean,incident_date_raw,incident_date_precision,source_dataset
2014.MMP00007,2014.MMP00007,Incident,Mediterranean,2014-01-19,2014,1,12,0,12,NA,9,NA,3,Afghanistan,Unknown,Drowning,Drowning,Eastern Mediterranean,Greece,Waters near Greece while being towed back to Turkey,Uncategorized,European Council on Refugees and Exiles,http://bit.ly/2aMCwfg,5,37.2832,27,2014-01-19,2014-01-19,day,IOM
2014.MMP00015,2014.MMP00015,Incident,Europe,2014-01-30,2014,1,1,0,1,2,NA,1,1,Iran (Islamic Republic of),Southern Asia,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Mainland Europe to the UK,France,"A16 motorway, near Calais, France",Western Europe,"Calais Migrant Solidarity, Calais Border Monitoring, RTL",http://bit.ly/1icTIF9,4,50.9355,1.87866,2014-01-30,2014-01-30,day,IOM
2014.MMP00018,2014.MMP00018,Incident,Mediterranean,2014-02-06,2014,2,15,0,15,0,NA,1,NA,Cameroon,Unknown,Violence,Violence,Western Mediterranean,Spain,Ceuta waters,Uncategorized,L'Espresso,http://bit.ly/U4b8wu,1,35.8793,-5,2014-02-06,2014-02-06,day,IOM
2014.MMP00022,2014.MMP00022,Incident,Mediterranean,2014-02-17,2014,2,2,0,2,121,NA,2,NA,Somalia,Eastern Africa,Mixed or unknown,Mixed or unknown,Central Mediterranean,Italy,Italy waters,Uncategorized,Malta Today,http://bit.ly/V7JIqE,1,34.5645,16,2014-02-17,2014-02-17,day,IOM
2014.MMP00031,2014.MMP00031,Incident,Mediterranean,2014-02-27,2014,2,7,0,7,NA,NA,NA,NA,Somalia,Eastern Africa,Violence,Violence,Central Mediterranean,Libya,Libyan Coast,Uncategorized,Libya herald,http://bit.ly/1lvR4Ka,1,33.1597,15,2014-02-27,2014-02-27,day,IOM
2014.MMP00033,2014.MMP00033,Incident,Europe,2014-03-09,2014,3,1,0,1,0,NA,1,NA,Albania,Europe,Violence,Violence,Mainland Europe to the UK,France,"A16 motorway, Between Boulogne-sur-Mer and Calais, France",Western Europe,"La Voix du Nord, Daily Mail UK, Calais Border Monitoring",https://archive.vn/USuIs,4,50.9365,1.85566,2014-03-09,2014-03-09,day,IOM
2014.MMP00038,2014.MMP00038,Incident,Europe,2014-03-12,2014,3,1,0,1,0,NA,1,NA,Ethiopia,Eastern Africa,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Mainland Europe to the UK,France,"A26 motorway, near Béthune, Pas-de-Calais, France",Western Europe,"France Info, Daily Mail UK, Calais Border Monitoring",http://dailym.ai/1iYPbax,4,50.9686,1.8675,2014-03-12,2014-03-12,day,IOM
2014.MMP00040,2014.MMP00040,Incident,Europe,2014-03-14,2014,3,1,0,1,0,NA,1,NA,Ethiopia,Eastern Africa,Mixed or unknown,Mixed or unknown,Mainland Europe to the UK,France,"Body found at Batellerie dock, Calais, France - English Channel crossing",Western Europe,"Daily Mail UK, Calais Border Monitoring",http://dailym.ai/1iYPbax,4,51.01037,2.08896,2014-03-14,2014-03-14,day,IOM
2014.MMP00041,2014.MMP00041,Incident,Europe,2014-03-15,2014,3,1,0,1,2,NA,1,NA,Ethiopia,Eastern Africa,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Mainland Europe to the UK,France,"Body found in transporter in Calais, France",Western Europe,"Daily Mail UK, Calais Border Monitoring",http://dailym.ai/1iYPbax,4,50.9688,1.87368,2014-03-15,2014-03-15,day,IOM
2014.MMP00044,2014.MMP00044,Incident,Mediterranean,2014-03-17,2014,3,1,0,1,NA,NA,NA,NA,Unknown,Unknown,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Central Mediterranean,Libya,Mediterranean,Uncategorized,Global post,http://bit.ly/1lOxCNv,1,34.9797,13,2014-03-17,2014-03-17,day,IOM
